Detail,Week_Ending_Date,Value,Measure,Class,Week,Source,Flu_Season
Suspected,5/14/2016 12:00:00 AM,0,Region,Northwest,19,Outbreaks,2015-16
Confirmed,5/14/2016 12:00:00 AM,0,Region,Southwest,19,Outbreaks,2015-16
Suspected,5/14/2016 12:00:00 AM,0,Region,Southwest,19,Outbreaks,2015-16
,5/14/2016 12:00:00 AM,14,,,19,Specimens,2015-16
,5/21/2016 12:00:00 AM,1,,,20,Activity Level,2015-16
,5/21/2016 12:00:00 AM,5.391178072,AgeGroup,0-4,20,ILI by Age,2015-16
,5/21/2016 12:00:00 AM,3.845167906,AgeGroup,05-18,20,ILI by Age,2015-16
,5/21/2016 12:00:00 AM,1.692611811,AgeGroup,19-24,20,ILI by Age,2015-16
,5/21/2016 12:00:00 AM,1.581716647,AgeGroup,25-49,20,ILI by Age,2015-16
,5/21/2016 12:00:00 AM,0.921506232,AgeGroup,50-64,20,ILI by Age,2015-16
,5/21/2016 12:00:00 AM,0.603172239,AgeGroup,65+,20,ILI by Age,2015-16
,5/21/2016 12:00:00 AM,1.819738814,RegionName,Central,20,ILI by Region,2015-16
,5/21/2016 12:00:00 AM,1.412394482,RegionName,Eastern,20,ILI by Region,2015-16
,5/21/2016 12:00:00 AM,3.329991029,RegionName,Northern,20,ILI by Region,2015-16
,5/21/2016 12:00:00 AM,1.395956540,RegionName,Northwest,20,ILI by Region,2015-16
,5/21/2016 12:00:00 AM,1.244908937,RegionName,Southwest,20,ILI by Region,2015-16
,5/21/2016 12:00:00 AM,1.879672649,,,20,ILI by Season,2015-16
,5/21/2016 12:00:00 AM,3,Region,Central,20,Intensity,2015-16
,5/21/2016 12:00:00 AM,2,Region,Eastern,20,Intensity,2015-16
,5/21/2016 12:00:00 AM,5,Region,Northern,20,Intensity,2015-16
,5/21/2016 12:00:00 AM,2,Region,Northwest,20,Intensity,2015-16
,5/21/2016 12:00:00 AM,1,Region,Southwest,20,Intensity,2015-16
A (H1),5/21/2016 12:00:00 AM,0,Region,Central,20,Labs,2015-16
A (H3),5/21/2016 12:00:00 AM,0,Region,Central,20,Labs,2015-16
A (Unk),5/21/2016 12:00:00 AM,0,Region,Central,20,Labs,2015-16
B,5/21/2016 12:00:00 AM,2,Region,Central,20,Labs,2015-16
B/Victoria,5/21/2016 12:00:00 AM,0,Region,Central,20,Labs,2015-16
B/Yamagata,5/21/2016 12:00:00 AM,0,Region,Central,20,Labs,2015-16
A (H1),5/21/2016 12:00:00 AM,0,Region,Eastern,20,Labs,2015-16
A (H3),5/21/2016 12:00:00 AM,0,Region,Eastern,20,Labs,2015-16
A (Unk),5/21/2016 12:00:00 AM,2,Region,Eastern,20,Labs,2015-16
B,5/21/2016 12:00:00 AM,1,Region,Eastern,20,Labs,2015-16
B/Victoria,5/21/2016 12:00:00 AM,0,Region,Eastern,20,Labs,2015-16
B/Yamagata,5/21/2016 12:00:00 AM,0,Region,Eastern,20,Labs,2015-16
A (H1),5/21/2016 12:00:00 AM,0,Region,Northern,20,Labs,2015-16
A (H3),5/21/2016 12:00:00 AM,0,Region,Northern,20,Labs,2015-16
A (Unk),5/21/2016 12:00:00 AM,1,Region,Northern,20,Labs,2015-16
B,5/21/2016 12:00:00 AM,3,Region,Northern,20,Labs,2015-16
B/Victoria,5/21/2016 12:00:00 AM,0,Region,Northern,20,Labs,2015-16
B/Yamagata,5/21/2016 12:00:00 AM,0,Region,Northern,20,Labs,2015-16
A (H1),5/21/2016 12:00:00 AM,1,Region,Northwest,20,Labs,2015-16
A (H3),5/21/2016 12:00:00 AM,0,Region,Northwest,20,Labs,2015-16
A (Unk),5/21/2016 12:00:00 AM,1,Region,Northwest,20,Labs,2015-16
B,5/21/2016 12:00:00 AM,1,Region,Northwest,20,Labs,2015-16
B/Victoria,5/21/2016 12:00:00 AM,0,Region,Northwest,20,Labs,2015-16
B/Yamagata,5/21/2016 12:00:00 AM,0,Region,Northwest,20,Labs,2015-16
A (H1),5/21/2016 12:00:00 AM,0,Region,Southwest,20,Labs,2015-16
A (H3),5/21/2016 12:00:00 AM,0,Region,Southwest,20,Labs,2015-16
A (Unk),5/21/2016 12:00:00 AM,0,Region,Southwest,20,Labs,2015-16
B,5/21/2016 12:00:00 AM,0,Region,Southwest,20,Labs,2015-16
B/Victoria,5/21/2016 12:00:00 AM,0,Region,Southwest,20,Labs,2015-16
B/Yamagata,5/21/2016 12:00:00 AM,0,Region,Southwest,20,Labs,2015-16
Confirmed,5/21/2016 12:00:00 AM,0,Facility Type,Assisted Living,20,Outbreaks,2015-16
Suspected,5/21/2016 12:00:00 AM,0,Facility Type,Assisted Living,20,Outbreaks,2015-16
Confirmed,5/21/2016 12:00:00 AM,0,Facility Type,Daycare / Pre-K,20,Outbreaks,2015-16
Suspected,5/21/2016 12:00:00 AM,0,Facility Type,Daycare / Pre-K,20,Outbreaks,2015-16
Confirmed,5/21/2016 12:00:00 AM,0,Facility Type,Nursing Home,20,Outbreaks,2015-16
Suspected,5/21/2016 12:00:00 AM,0,Facility Type,Nursing Home,20,Outbreaks,2015-16
Confirmed,5/21/2016 12:00:00 AM,0,Facility Type,Other Facility Type,20,Outbreaks,2015-16
Suspected,5/21/2016 12:00:00 AM,0,Facility Type,Other Facility Type,20,Outbreaks,2015-16
Confirmed,5/21/2016 12:00:00 AM,0,Facility Type,Other Health Care,20,Outbreaks,2015-16
Suspected,5/21/2016 12:00:00 AM,0,Facility Type,Other Health Care,20,Outbreaks,2015-16
Confirmed,5/21/2016 12:00:00 AM,0,Facility Type,School (K-12),20,Outbreaks,2015-16
Suspected,5/21/2016 12:00:00 AM,0,Facility Type,School (K-12),20,Outbreaks,2015-16
Confirmed,5/21/2016 12:00:00 AM,0,Region,Central,20,Outbreaks,2015-16
Suspected,5/21/2016 12:00:00 AM,0,Region,Central,20,Outbreaks,2015-16
Confirmed,5/21/2016 12:00:00 AM,0,Region,Eastern,20,Outbreaks,2015-16
Suspected,5/21/2016 12:00:00 AM,0,Region,Eastern,20,Outbreaks,2015-16
Confirmed,5/21/2016 12:00:00 AM,0,Region,Northern,20,Outbreaks,2015-16
Suspected,5/21/2016 12:00:00 AM,0,Region,Northern,20,Outbreaks,2015-16
Confirmed,5/21/2016 12:00:00 AM,0,Region,Northwest,20,Outbreaks,2015-16
Suspected,5/21/2016 12:00:00 AM,0,Region,Northwest,20,Outbreaks,2015-16
Confirmed,5/21/2016 12:00:00 AM,0,Region,Southwest,20,Outbreaks,2015-16
Suspected,5/21/2016 12:00:00 AM,0,Region,Southwest,20,Outbreaks,2015-16
,5/21/2016 12:00:00 AM,12,,,20,Specimens,2015-16
,5/28/2016 12:00:00 AM,1,,,21,Activity Level,2015-16
,5/28/2016 12:00:00 AM,5.971750402,AgeGroup,0-4,21,ILI by Age,2015-16
,5/28/2016 12:00:00 AM,3.993358965,AgeGroup,05-18,21,ILI by Age,2015-16
,5/28/2016 12:00:00 AM,1.361989254,AgeGroup,19-24,21,ILI by Age,2015-16
,5/28/2016 12:00:00 AM,1.242215774,AgeGroup,25-49,21,ILI by Age,2015-16
,5/28/2016 12:00:00 AM,0.671622327,AgeGroup,50-64,21,ILI by Age,2015-16
,5/28/2016 12:00:00 AM,0.555555556,AgeGroup,65+,21,ILI by Age,2015-16
,5/28/2016 12:00:00 AM,1.596045198,RegionName,Central,21,ILI by Region,2015-16
,5/28/2016 12:00:00 AM,1.353196772,RegionName,Eastern,21,ILI by Region,2015-16
,5/28/2016 12:00:00 AM,2.902279627,RegionName,Northern,21,ILI by Region,2015-16
,5/28/2016 12:00:00 AM,1.463178963,RegionName,Northwest,21,ILI by Region,2015-16
,5/28/2016 12:00:00 AM,1.029185868,RegionName,Southwest,21,ILI by Region,2015-16
,5/28/2016 12:00:00 AM,1.715786881,,,21,ILI by Season,2015-16
,5/28/2016 12:00:00 AM,2,Region,Central,21,Intensity,2015-16
,5/28/2016 12:00:00 AM,2,Region,Eastern,21,Intensity,2015-16
,5/28/2016 12:00:00 AM,4,Region,Northern,21,Intensity,2015-16
,5/28/2016 12:00:00 AM,2,Region,Northwest,21,Intensity,2015-16
,5/28/2016 12:00:00 AM,1,Region,Southwest,21,Intensity,2015-16
A (H1),5/28/2016 12:00:00 AM,0,Region,Central,21,Labs,2015-16
A (H3),5/28/2016 12:00:00 AM,0,Region,Central,21,Labs,2015-16
A (Unk),5/28/2016 12:00:00 AM,0,Region,Central,21,Labs,2015-16
B,5/28/2016 12:00:00 AM,0,Region,Central,21,Labs,2015-16
B/Victoria,5/28/2016 12:00:00 AM,0,Region,Central,21,Labs,2015-16
B/Yamagata,5/28/2016 12:00:00 AM,0,Region,Central,21,Labs,2015-16
A (H1),5/28/2016 12:00:00 AM,1,Region,Eastern,21,Labs,2015-16
A (H3),5/28/2016 12:00:00 AM,0,Region,Eastern,21,Labs,2015-16
A (Unk),5/28/2016 12:00:00 AM,0,Region,Eastern,21,Labs,2015-16
B,5/28/2016 12:00:00 AM,2,Region,Eastern,21,Labs,2015-16
B/Victoria,5/28/2016 12:00:00 AM,0,Region,Eastern,21,Labs,2015-16
B/Yamagata,5/28/2016 12:00:00 AM,0,Region,Eastern,21,Labs,2015-16
A (H1),5/28/2016 12:00:00 AM,0,Region,Northern,21,Labs,2015-16
A (H3),5/28/2016 12:00:00 AM,0,Region,Northern,21,Labs,2015-16
A (Unk),5/28/2016 12:00:00 AM,0,Region,Northern,21,Labs,2015-16
B,5/28/2016 12:00:00 AM,1,Region,Northern,21,Labs,2015-16
B/Victoria,5/28/2016 12:00:00 AM,0,Region,Northern,21,Labs,2015-16
B/Yamagata,5/28/2016 12:00:00 AM,0,Region,Northern,21,Labs,2015-16
A (H1),5/28/2016 12:00:00 AM,0,Region,Northwest,21,Labs,2015-16
A (H3),5/28/2016 12:00:00 AM,0,Region,Northwest,21,Labs,2015-16
A (Unk),5/28/2016 12:00:00 AM,0,Region,Northwest,21,Labs,2015-16
B,5/28/2016 12:00:00 AM,0,Region,Northwest,21,Labs,2015-16
B/Victoria,5/28/2016 12:00:00 AM,0,Region,Northwest,21,Labs,2015-16
B/Yamagata,5/28/2016 12:00:00 AM,0,Region,Northwest,21,Labs,2015-16
A (H1),5/28/2016 12:00:00 AM,0,Region,Southwest,21,Labs,2015-16
A (H3),5/28/2016 12:00:00 AM,0,Region,Southwest,21,Labs,2015-16
A (Unk),5/28/2016 12:00:00 AM,0,Region,Southwest,21,Labs,2015-16
B,5/28/2016 12:00:00 AM,0,Region,Southwest,21,Labs,2015-16
B/Victoria,5/28/2016 12:00:00 AM,0,Region,Southwest,21,Labs,2015-16
B/Yamagata,5/28/2016 12:00:00 AM,0,Region,Southwest,21,Labs,2015-16
Confirmed,5/28/2016 12:00:00 AM,0,Facility Type,Assisted Living,21,Outbreaks,2015-16
Suspected,5/28/2016 12:00:00 AM,0,Facility Type,Assisted Living,21,Outbreaks,2015-16
Confirmed,5/28/2016 12:00:00 AM,0,Facility Type,Daycare / Pre-K,21,Outbreaks,2015-16
Suspected,5/28/2016 12:00:00 AM,0,Facility Type,Daycare / Pre-K,21,Outbreaks,2015-16
Confirmed,5/28/2016 12:00:00 AM,0,Facility Type,Nursing Home,21,Outbreaks,2015-16
Suspected,5/28/2016 12:00:00 AM,0,Facility Type,Nursing Home,21,Outbreaks,2015-16
Confirmed,5/28/2016 12:00:00 AM,0,Facility Type,Other Facility Type,21,Outbreaks,2015-16
Suspected,5/28/2016 12:00:00 AM,0,Facility Type,Other Facility Type,21,Outbreaks,2015-16
Confirmed,5/28/2016 12:00:00 AM,0,Facility Type,Other Health Care,21,Outbreaks,2015-16
Suspected,5/28/2016 12:00:00 AM,0,Facility Type,Other Health Care,21,Outbreaks,2015-16
Confirmed,5/28/2016 12:00:00 AM,0,Facility Type,School (K-12),21,Outbreaks,2015-16
Suspected,5/28/2016 12:00:00 AM,0,Facility Type,School (K-12),21,Outbreaks,2015-16
Confirmed,5/28/2016 12:00:00 AM,0,Region,Central,21,Outbreaks,2015-16
Suspected,5/28/2016 12:00:00 AM,0,Region,Central,21,Outbreaks,2015-16
Confirmed,5/28/2016 12:00:00 AM,0,Region,Eastern,21,Outbreaks,2015-16
Suspected,5/28/2016 12:00:00 AM,0,Region,Eastern,21,Outbreaks,2015-16
Confirmed,5/28/2016 12:00:00 AM,0,Region,Northern,21,Outbreaks,2015-16
Suspected,5/28/2016 12:00:00 AM,0,Region,Northern,21,Outbreaks,2015-16
Confirmed,5/28/2016 12:00:00 AM,0,Region,Northwest,21,Outbreaks,2015-16
Suspected,5/28/2016 12:00:00 AM,0,Region,Northwest,21,Outbreaks,2015-16
Confirmed,5/28/2016 12:00:00 AM,0,Region,Southwest,21,Outbreaks,2015-16
Suspected,5/28/2016 12:00:00 AM,0,Region,Southwest,21,Outbreaks,2015-16
,5/28/2016 12:00:00 AM,4,,,21,Specimens,2015-16
,6/4/2016 12:00:00 AM,1,,,22,Activity Level,2015-16
,6/4/2016 12:00:00 AM,6.004401132,AgeGroup,0-4,22,ILI by Age,2015-16
,6/4/2016 12:00:00 AM,4.182509506,AgeGroup,05-18,22,ILI by Age,2015-16
,6/4/2016 12:00:00 AM,1.085481682,AgeGroup,19-24,22,ILI by Age,2015-16
,6/4/2016 12:00:00 AM,1.095890411,AgeGroup,25-49,22,ILI by Age,2015-16
,6/4/2016 12:00:00 AM,0.710175095,AgeGroup,50-64,22,ILI by Age,2015-16
,6/4/2016 12:00:00 AM,0.463283087,AgeGroup,65+,22,ILI by Age,2015-16
,6/4/2016 12:00:00 AM,1.646930720,RegionName,Central,22,ILI by Region,2015-16
,6/4/2016 12:00:00 AM,1.547116737,RegionName,Eastern,22,ILI by Region,2015-16
,6/4/2016 12:00:00 AM,2.567060860,RegionName,Northern,22,ILI by Region,2015-16
,6/4/2016 12:00:00 AM,1.243536881,RegionName,Northwest,22,ILI by Region,2015-16
,6/4/2016 12:00:00 AM,1.037828082,RegionName,Southwest,22,ILI by Region,2015-16
,6/4/2016 12:00:00 AM,1.673842418,,,22,ILI by Season,2015-16
,6/4/2016 12:00:00 AM,3,Region,Central,22,Intensity,2015-16
,6/4/2016 12:00:00 AM,3,Region,Eastern,22,Intensity,2015-16
,6/4/2016 12:00:00 AM,3,Region,Northern,22,Intensity,2015-16
,6/4/2016 12:00:00 AM,2,Region,Northwest,22,Intensity,2015-16
,6/4/2016 12:00:00 AM,1,Region,Southwest,22,Intensity,2015-16
A (H1),6/4/2016 12:00:00 AM,0,Region,Central,22,Labs,2015-16
A (H3),6/4/2016 12:00:00 AM,0,Region,Central,22,Labs,2015-16
A (Unk),6/4/2016 12:00:00 AM,0,Region,Central,22,Labs,2015-16
B,6/4/2016 12:00:00 AM,0,Region,Central,22,Labs,2015-16
B/Victoria,6/4/2016 12:00:00 AM,0,Region,Central,22,Labs,2015-16
B/Yamagata,6/4/2016 12:00:00 AM,0,Region,Central,22,Labs,2015-16
A (H1),6/4/2016 12:00:00 AM,0,Region,Eastern,22,Labs,2015-16
A (H3),6/4/2016 12:00:00 AM,0,Region,Eastern,22,Labs,2015-16
A (Unk),6/4/2016 12:00:00 AM,0,Region,Eastern,22,Labs,2015-16
B,6/4/2016 12:00:00 AM,1,Region,Eastern,22,Labs,2015-16
B/Victoria,6/4/2016 12:00:00 AM,0,Region,Eastern,22,Labs,2015-16
B/Yamagata,6/4/2016 12:00:00 AM,0,Region,Eastern,22,Labs,2015-16
A (H1),6/4/2016 12:00:00 AM,0,Region,Northern,22,Labs,2015-16
A (H3),6/4/2016 12:00:00 AM,0,Region,Northern,22,Labs,2015-16
A (Unk),6/4/2016 12:00:00 AM,0,Region,Northern,22,Labs,2015-16
B,6/4/2016 12:00:00 AM,0,Region,Northern,22,Labs,2015-16
B/Victoria,6/4/2016 12:00:00 AM,0,Region,Northern,22,Labs,2015-16
B/Yamagata,6/4/2016 12:00:00 AM,0,Region,Northern,22,Labs,2015-16
A (H1),6/4/2016 12:00:00 AM,0,Region,Northwest,22,Labs,2015-16
A (H3),6/4/2016 12:00:00 AM,0,Region,Northwest,22,Labs,2015-16
A (Unk),6/4/2016 12:00:00 AM,0,Region,Northwest,22,Labs,2015-16
B,6/4/2016 12:00:00 AM,0,Region,Northwest,22,Labs,2015-16
B/Victoria,6/4/2016 12:00:00 AM,0,Region,Northwest,22,Labs,2015-16
B/Yamagata,6/4/2016 12:00:00 AM,0,Region,Northwest,22,Labs,2015-16
A (H1),6/4/2016 12:00:00 AM,0,Region,Southwest,22,Labs,2015-16
A (H3),6/4/2016 12:00:00 AM,0,Region,Southwest,22,Labs,2015-16
A (Unk),6/4/2016 12:00:00 AM,0,Region,Southwest,22,Labs,2015-16
B,6/4/2016 12:00:00 AM,0,Region,Southwest,22,Labs,2015-16
B/Victoria,6/4/2016 12:00:00 AM,0,Region,Southwest,22,Labs,2015-16
B/Yamagata,6/4/2016 12:00:00 AM,0,Region,Southwest,22,Labs,2015-16
Confirmed,6/4/2016 12:00:00 AM,1,Facility Type,Assisted Living,22,Outbreaks,2015-16
Suspected,6/4/2016 12:00:00 AM,0,Facility Type,Assisted Living,22,Outbreaks,2015-16
Confirmed,6/4/2016 12:00:00 AM,0,Facility Type,Daycare / Pre-K,22,Outbreaks,2015-16
Suspected,6/4/2016 12:00:00 AM,0,Facility Type,Daycare / Pre-K,22,Outbreaks,2015-16
Confirmed,6/4/2016 12:00:00 AM,0,Facility Type,Nursing Home,22,Outbreaks,2015-16
Suspected,6/4/2016 12:00:00 AM,0,Facility Type,Nursing Home,22,Outbreaks,2015-16
Confirmed,6/4/2016 12:00:00 AM,0,Facility Type,Other Facility Type,22,Outbreaks,2015-16
Suspected,6/4/2016 12:00:00 AM,0,Facility Type,Other Facility Type,22,Outbreaks,2015-16
Confirmed,6/4/2016 12:00:00 AM,0,Facility Type,Other Health Care,22,Outbreaks,2015-16
Suspected,6/4/2016 12:00:00 AM,0,Facility Type,Other Health Care,22,Outbreaks,2015-16
Confirmed,6/4/2016 12:00:00 AM,0,Facility Type,School (K-12),22,Outbreaks,2015-16
Suspected,6/4/2016 12:00:00 AM,0,Facility Type,School (K-12),22,Outbreaks,2015-16
Confirmed,6/4/2016 12:00:00 AM,0,Region,Central,22,Outbreaks,2015-16
Suspected,6/4/2016 12:00:00 AM,0,Region,Central,22,Outbreaks,2015-16
Confirmed,6/4/2016 12:00:00 AM,0,Region,Eastern,22,Outbreaks,2015-16
Suspected,6/4/2016 12:00:00 AM,0,Region,Eastern,22,Outbreaks,2015-16
Confirmed,6/4/2016 12:00:00 AM,1,Region,Northern,22,Outbreaks,2015-16
Suspected,6/4/2016 12:00:00 AM,0,Region,Northern,22,Outbreaks,2015-16
Confirmed,6/4/2016 12:00:00 AM,0,Region,Northwest,22,Outbreaks,2015-16
Suspected,6/4/2016 12:00:00 AM,0,Region,Northwest,22,Outbreaks,2015-16
Confirmed,6/4/2016 12:00:00 AM,0,Region,Southwest,22,Outbreaks,2015-16
Suspected,6/4/2016 12:00:00 AM,0,Region,Southwest,22,Outbreaks,2015-16
,6/4/2016 12:00:00 AM,1,,,22,Specimens,2015-16
,6/11/2016 12:00:00 AM,1,,,23,Activity Level,2015-16
,6/11/2016 12:00:00 AM,5.026631158,AgeGroup,0-4,23,ILI by Age,2015-16
,6/11/2016 12:00:00 AM,3.102710414,AgeGroup,05-18,23,ILI by Age,2015-16
,6/11/2016 12:00:00 AM,1.043815997,AgeGroup,19-24,23,ILI by Age,2015-16
,6/11/2016 12:00:00 AM,0.943336499,AgeGroup,25-49,23,ILI by Age,2015-16
,6/11/2016 12:00:00 AM,0.534826653,AgeGroup,50-64,23,ILI by Age,2015-16
,6/11/2016 12:00:00 AM,0.308123249,AgeGroup,65+,23,ILI by Age,2015-16
,6/11/2016 12:00:00 AM,1.295407814,RegionName,Central,23,ILI by Region,2015-16
,6/11/2016 12:00:00 AM,1.105379514,RegionName,Eastern,23,ILI by Region,2015-16
,6/11/2016 12:00:00 AM,2.310780378,RegionName,Northern,23,ILI by Region,2015-16
,6/11/2016 12:00:00 AM,0.880704564,RegionName,Northwest,23,ILI by Region,2015-16
,6/11/2016 12:00:00 AM,0.781494217,RegionName,Southwest,23,ILI by Region,2015-16
,6/11/2016 12:00:00 AM,1.333318047,,,23,ILI by Season,2015-16
,6/11/2016 12:00:00 AM,2,Region,Central,23,Intensity,2015-16
,6/11/2016 12:00:00 AM,2,Region,Eastern,23,Intensity,2015-16
,6/11/2016 12:00:00 AM,3,Region,Northern,23,Intensity,2015-16
,6/11/2016 12:00:00 AM,1,Region,Northwest,23,Intensity,2015-16
,6/11/2016 12:00:00 AM,1,Region,Southwest,23,Intensity,2015-16
A (H1),6/11/2016 12:00:00 AM,0,Region,Central,23,Labs,2015-16
A (H3),6/11/2016 12:00:00 AM,0,Region,Central,23,Labs,2015-16
A (Unk),6/11/2016 12:00:00 AM,0,Region,Central,23,Labs,2015-16
B,6/11/2016 12:00:00 AM,0,Region,Central,23,Labs,2015-16
B/Victoria,6/11/2016 12:00:00 AM,0,Region,Central,23,Labs,2015-16
B/Yamagata,6/11/2016 12:00:00 AM,0,Region,Central,23,Labs,2015-16
A (H1),6/11/2016 12:00:00 AM,0,Region,Eastern,23,Labs,2015-16
A (H3),6/11/2016 12:00:00 AM,0,Region,Eastern,23,Labs,2015-16
A (Unk),6/11/2016 12:00:00 AM,0,Region,Eastern,23,Labs,2015-16
B,6/11/2016 12:00:00 AM,0,Region,Eastern,23,Labs,2015-16
B/Victoria,6/11/2016 12:00:00 AM,0,Region,Eastern,23,Labs,2015-16
B/Yamagata,6/11/2016 12:00:00 AM,0,Region,Eastern,23,Labs,2015-16
A (H1),6/11/2016 12:00:00 AM,0,Region,Northern,23,Labs,2015-16
A (H3),6/11/2016 12:00:00 AM,0,Region,Northern,23,Labs,2015-16
A (Unk),6/11/2016 12:00:00 AM,0,Region,Northern,23,Labs,2015-16
B,6/11/2016 12:00:00 AM,0,Region,Northern,23,Labs,2015-16
B/Victoria,6/11/2016 12:00:00 AM,0,Region,Northern,23,Labs,2015-16
B/Yamagata,6/11/2016 12:00:00 AM,0,Region,Northern,23,Labs,2015-16
A (H1),6/11/2016 12:00:00 AM,0,Region,Northwest,23,Labs,2015-16
A (H3),6/11/2016 12:00:00 AM,0,Region,Northwest,23,Labs,2015-16
A (Unk),6/11/2016 12:00:00 AM,0,Region,Northwest,23,Labs,2015-16
B,6/11/2016 12:00:00 AM,0,Region,Northwest,23,Labs,2015-16
B/Victoria,6/11/2016 12:00:00 AM,0,Region,Northwest,23,Labs,2015-16
B/Yamagata,6/11/2016 12:00:00 AM,0,Region,Northwest,23,Labs,2015-16
A (H1),6/11/2016 12:00:00 AM,0,Region,Southwest,23,Labs,2015-16
A (H3),6/11/2016 12:00:00 AM,0,Region,Southwest,23,Labs,2015-16
A (Unk),6/11/2016 12:00:00 AM,0,Region,Southwest,23,Labs,2015-16
B,6/11/2016 12:00:00 AM,0,Region,Southwest,23,Labs,2015-16
B/Victoria,6/11/2016 12:00:00 AM,0,Region,Southwest,23,Labs,2015-16
B/Yamagata,6/11/2016 12:00:00 AM,0,Region,Southwest,23,Labs,2015-16
Confirmed,6/11/2016 12:00:00 AM,0,Facility Type,Assisted Living,23,Outbreaks,2015-16
Suspected,6/11/2016 12:00:00 AM,0,Facility Type,Assisted Living,23,Outbreaks,2015-16
Confirmed,6/11/2016 12:00:00 AM,0,Facility Type,Daycare / Pre-K,23,Outbreaks,2015-16
Suspected,6/11/2016 12:00:00 AM,0,Facility Type,Daycare / Pre-K,23,Outbreaks,2015-16
Confirmed,6/11/2016 12:00:00 AM,0,Facility Type,Nursing Home,23,Outbreaks,2015-16
Suspected,6/11/2016 12:00:00 AM,0,Facility Type,Nursing Home,23,Outbreaks,2015-16
Confirmed,6/11/2016 12:00:00 AM,0,Facility Type,Other Facility Type,23,Outbreaks,2015-16
Suspected,6/11/2016 12:00:00 AM,0,Facility Type,Other Facility Type,23,Outbreaks,2015-16
Confirmed,6/11/2016 12:00:00 AM,0,Facility Type,Other Health Care,23,Outbreaks,2015-16
Suspected,6/11/2016 12:00:00 AM,0,Facility Type,Other Health Care,23,Outbreaks,2015-16
Confirmed,6/11/2016 12:00:00 AM,0,Facility Type,School (K-12),23,Outbreaks,2015-16
Suspected,6/11/2016 12:00:00 AM,0,Facility Type,School (K-12),23,Outbreaks,2015-16
Confirmed,6/11/2016 12:00:00 AM,0,Region,Central,23,Outbreaks,2015-16
Suspected,6/11/2016 12:00:00 AM,0,Region,Central,23,Outbreaks,2015-16
Confirmed,6/11/2016 12:00:00 AM,0,Region,Eastern,23,Outbreaks,2015-16
Suspected,6/11/2016 12:00:00 AM,0,Region,Eastern,23,Outbreaks,2015-16
Confirmed,6/11/2016 12:00:00 AM,0,Region,Northern,23,Outbreaks,2015-16
Suspected,6/11/2016 12:00:00 AM,0,Region,Northern,23,Outbreaks,2015-16
Confirmed,6/11/2016 12:00:00 AM,0,Region,Northwest,23,Outbreaks,2015-16
Suspected,6/11/2016 12:00:00 AM,0,Region,Northwest,23,Outbreaks,2015-16
Confirmed,6/11/2016 12:00:00 AM,0,Region,Southwest,23,Outbreaks,2015-16
Suspected,6/11/2016 12:00:00 AM,0,Region,Southwest,23,Outbreaks,2015-16
,6/11/2016 12:00:00 AM,0,,,23,Specimens,2015-16
,6/18/2016 12:00:00 AM,0,,,24,Activity Level,2015-16
,6/18/2016 12:00:00 AM,4.853723404,AgeGroup,0-4,24,ILI by Age,2015-16
,6/18/2016 12:00:00 AM,3.487302172,AgeGroup,05-18,24,ILI by Age,2015-16
,6/18/2016 12:00:00 AM,0.959829364,AgeGroup,19-24,24,ILI by Age,2015-16
,6/18/2016 12:00:00 AM,0.935863038,AgeGroup,25-49,24,ILI by Age,2015-16
,6/18/2016 12:00:00 AM,0.483668342,AgeGroup,50-64,24,ILI by Age,2015-16
,6/18/2016 12:00:00 AM,0.341939986,AgeGroup,65+,24,ILI by Age,2015-16
,6/18/2016 12:00:00 AM,1.382170007,RegionName,Central,24,ILI by Region,2015-16
,6/18/2016 12:00:00 AM,1.193811670,RegionName,Eastern,24,ILI by Region,2015-16
,6/18/2016 12:00:00 AM,2.342306348,RegionName,Northern,24,ILI by Region,2015-16
,6/18/2016 12:00:00 AM,0.883002208,RegionName,Northwest,24,ILI by Region,2015-16
,6/18/2016 12:00:00 AM,0.593193881,RegionName,Southwest,24,ILI by Region,2015-16
,6/18/2016 12:00:00 AM,1.347820582,,,24,ILI by Season,2015-16
,6/18/2016 12:00:00 AM,2,Region,Central,24,Intensity,2015-16
,6/18/2016 12:00:00 AM,2,Region,Eastern,24,Intensity,2015-16
,6/18/2016 12:00:00 AM,3,Region,Northern,24,Intensity,2015-16
,6/18/2016 12:00:00 AM,1,Region,Northwest,24,Intensity,2015-16
,6/18/2016 12:00:00 AM,1,Region,Southwest,24,Intensity,2015-16
A (H1),6/18/2016 12:00:00 AM,0,Region,Central,24,Labs,2015-16
A (H3),6/18/2016 12:00:00 AM,0,Region,Central,24,Labs,2015-16
A (Unk),6/18/2016 12:00:00 AM,0,Region,Central,24,Labs,2015-16
B,6/18/2016 12:00:00 AM,0,Region,Central,24,Labs,2015-16
B/Victoria,6/18/2016 12:00:00 AM,0,Region,Central,24,Labs,2015-16
B/Yamagata,6/18/2016 12:00:00 AM,0,Region,Central,24,Labs,2015-16
A (H1),6/18/2016 12:00:00 AM,0,Region,Eastern,24,Labs,2015-16
A (H3),6/18/2016 12:00:00 AM,0,Region,Eastern,24,Labs,2015-16
A (Unk),6/18/2016 12:00:00 AM,0,Region,Eastern,24,Labs,2015-16
B,6/18/2016 12:00:00 AM,0,Region,Eastern,24,Labs,2015-16
B/Victoria,6/18/2016 12:00:00 AM,0,Region,Eastern,24,Labs,2015-16
